STORE NAME,ADDRESS,CITY,STATE,ZIP CODE,SIZE,REGISTERS,PRODUCE,MEAT,GENERAL,MEAT COUNTER,DELI COUNTER,BAKERY,FISH COUNTER,ALCOHOL,FRESH PRODUCE,SAFETYCONC,CLEANCONCE,ORIENTEDET,ETHNIC SPECIALITY,LATITUDE,LONGITUDE,LOCATION
Fairway Finer Foods,200 E 144th St,Dolton,IL,60419,Supermarket,4,,,true,true,true,,true,false,true,false,false,false,,,,"(41.633540, -87.617080)"
Ultra Foods,13001 Ashland Ave,Calumet Park,IL,60827,Supermarket,15,,,true,true,true,true,true,true,true,false,false,false,,,,"(41.657570, -87.660610)"
Pete's Fresh Market,3720 W 95th St,Evergreen Park,IL,60805,Supermarket,9,,,true,true,true,true,true,false,true,false,false,,,,,"(41.720767, -87.714708)"
LAGENS SUPERMARKET INC,8859 S CALIFORNIA AVE,EVERGREEN PARK,IL,60805,Supermarket,2,,,true,,true,,,true,true,false,false,false,,,,"(41.732500, -87.692200)"
SUPERMERCADO TORRES INC,5304 W 25TH ST,Cicero,IL,60804,Supermarket,5,,,true,true,true,,true,true,true,false,false,true,Hispanic,,,"(41.845570, -87.756570)"
La Chiquita,4926 W Cermak Rd,Cicero,IL,60804,Supermarket,8,,,true,true,true,true,true,true,true,false,false,true,Hispanic,,,"(41.851220, -87.747300)"
Cermak Produce,4728 W Cermak Rd,Cicero,IL,60804,Supermarket,3,true,,,true,true,,true,false,true,false,false,true,Hispanic,,,"(41.851310, -87.742980)"
Carnicerias Jimenez,1948 S Cicero Ave,Cicero,IL,60804,Supermarket,2,,,true,true,true,,true,true,true,false,false,true,Hispanic,,,"(41.853570, -87.744190)"
Carniceria 5 Hermanos,6500 16th St,Berwyn,IL,60402,Supermarket,2,,,true,true,true,,true,false,true,false,false,true,Hispanic,,,"(41.857870, -87.786170)"
Torres #3 Supermarket,1642 S Cicero Ave,Cicero,IL,60804,Supermarket,2,,,true,true,true,,true,true,true,false,false,true,Hispanic,,,"(41.858030, -87.744330)"
El Tortito Meat Market,5830 16th St,Cicero,IL,60402,Supermarket,2,,,true,true,true,,true,false,true,false,false,true,Hispanic,,,"(41.858160, -87.769440)"
Carniceria 5 Hermanos,5722 16th St,Cicero,IL,60804,Supermarket,2,,,true,true,true,,true,false,true,false,false,true,Hispanic,,,"(41.858190, -87.767750)"
La Rosita Foods,6609 W Roosevelt Rd,Berwyn,IL,60402,Supermarket,2,,,true,true,true,,,true,true,false,false,true,Hispanic,,,"(41.865150, -87.789220)"
FAIR SHARE FOODS,6226 ROOSEVELT RD,Oak Park,IL,60304,Supermarket,5,,,true,,true,,,false,true,false,false,false,,,,"(41.865320, -87.780000)"
Billy's Fruit Market,400 Madison St,Oak Park,IL,60304,Supermarket,2,true,,,true,true,,,false,true,false,false,true,African-American,,,"(41.879930, -87.784400)"
North Avenue Fresh Market,6209 North Ave,Oak Park,IL,60302,Supermarket,5,,,true,true,true,,true,false,true,false,false,true,African- American,,,"(41.909090, -87.781050)"
Super Low Food Center,7411 W Grand Ave,Elmwood Park,IL,60707,Supermarket,6,,,true,,true,,,true,true,false,false,false,,,,"(41.924780, -87.811790)"
La Chiquita,9709 Franklin Ave,Franklin Park,IL,60131,Supermarket,3,,,true,true,,,true,false,true,false,false,true,Hispanic,,,"(41.936020, -87.868250)"
Super Low Food Center,3720 Rose St,Schiller Park,IL,60176,Supermarket,4,,,true,,true,,,true,true,false,false,false,,,,"(41.947080, -87.866050)"
Butera Market,4411 N Cumberland Ave,Norridge,IL,60706,Supermarket,7,,,true,true,true,true,true,false,true,false,false,false,,,,"(41.959950, -87.836500)"
Produce World,8325 W Lawrence Ave,Norridge,IL,60706,Supermarket,9,,,true,true,true,,true,true,true,false,false,true,"International, mostly European",,,"(41.966550, -87.834500)"
Butera Market,4761 N Nagle Ave,Harwood Heights,IL,60706,Supermarket,7,,,true,,,,,false,true,false,false,false,,,,"(41.967070, -87.787910)"
Morningfields Market,800 DEVON AVE,PARK RIDGE,IL,60068,Supermarket,2,,,true,true,true,true,true,true,true,false,false,false,,,,"(41.996510, -87.835140)"
LINCOLNWOOD PRODUCE LTD,7175 N LINCOLN AVE,LINCOLNWOOD,IL,60712,Supermarket,4,true,,,true,true,,,false,true,false,false,true,"European and Middle- Eastern ( Polish,Greek,Bulgarian,Kosher je",,,"(42.010800, -87.737940)"
Grand Mart International Mart,5630 W Touhy Ave,Niles,IL,60714,Supermarket,8,,,true,true,,,true,true,true,false,false,true,Asian,,,"(42.011900, -87.768500)"
H Mart,7501 N Waukegan,Niles,IL,60714,Supermarket,14,,,true,true,true,true,true,true,true,false,false,true,Asian,,,"(42.016930, -87.802490)"
JERRYS FRUIT & GARDEN CENTER INC,7901 N MILWAUKEE AVE,Niles,IL,60714,Supermarket,11,true,,,,,,,false,true,false,false,true,European,,,"(42.024410, -87.812490)"
